SYD-sky,BKK-sky,10/5/16,10/25/16
SYD-sky,BKK-sky,11/5/16,11/25/16
SYD-sky,BKK-sky,12/5/16,12/25/16
SYD-sky,BKK-sky,1/5/17,1/25/17
SYD-sky,BKK-sky,2/5/17,2/25/17
SYD-sky,BKK-sky,3/5/17,3/25/17
SYD-sky,DEL-sky,10/5/16,10/25/16
SYD-sky,DEL-sky,11/5/16,11/25/16
SYD-sky,DEL-sky,12/5/16,12/25/16
SYD-sky,DEL-sky,1/5/17,1/25/17
SYD-sky,DEL-sky,2/5/17,2/25/17
SYD-sky,DEL-sky,3/5/17,3/25/17
SYD-sky,DPS-sky,10/5/16,10/25/16
SYD-sky,DPS-sky,11/5/16,11/25/16
SYD-sky,DPS-sky,12/5/16,12/25/16
SYD-sky,DPS-sky,1/5/17,1/25/17
SYD-sky,DPS-sky,2/5/17,2/25/17
SYD-sky,DPS-sky,3/5/17,3/25/17
SYD-sky,HKG-sky,10/5/16,10/25/16
SYD-sky,HKG-sky,11/5/16,11/25/16
SYD-sky,HKG-sky,12/5/16,12/25/16
SYD-sky,HKG-sky,1/5/17,1/25/17
SYD-sky,HKG-sky,2/5/17,2/25/17
SYD-sky,HKG-sky,3/5/17,3/25/17
SYD-sky,HKT-sky,10/5/16,10/25/16
SYD-sky,HKT-sky,11/5/16,11/25/16
SYD-sky,HKT-sky,12/5/16,12/25/16
SYD-sky,HKT-sky,1/5/17,1/25/17
SYD-sky,HKT-sky,2/5/17,2/25/17
SYD-sky,HKT-sky,3/5/17,3/25/17
SYD-sky,ICN-sky,10/5/16,10/25/16
SYD-sky,ICN-sky,11/5/16,11/25/16
SYD-sky,ICN-sky,12/5/16,12/25/16
SYD-sky,ICN-sky,1/5/17,1/25/17
SYD-sky,ICN-sky,2/5/17,2/25/17
SYD-sky,ICN-sky,3/5/17,3/25/17
SYD-sky,LAX-sky,10/5/16,10/25/16
SYD-sky,LAX-sky,11/5/16,11/25/16
SYD-sky,LAX-sky,12/5/16,12/25/16
SYD-sky,LAX-sky,1/5/17,1/25/17
SYD-sky,LAX-sky,2/5/17,2/25/17
SYD-sky,LAX-sky,3/5/17,3/25/17
SYD-sky,LHR-sky,10/5/16,10/25/16
SYD-sky,LHR-sky,11/5/16,11/25/16
SYD-sky,LHR-sky,12/5/16,12/25/16
SYD-sky,LHR-sky,1/5/17,1/25/17
SYD-sky,LHR-sky,2/5/17,2/25/17
